"CRICKET FIELDING ANALYSIS — MI vs CSK | IPL 2023 | Wankhede Stadium, Mumbai",,,,,,,,,,,,
Innings: 1st Innings  |  Team Fielding: Mumbai Indians  |  Venue: Wankhede Stadium  |  Date: 20 May 2023,,,,,,,,,,,,
Match No.,Innings,Team,Player Name,Ball Count,Over No.,Position,Short Description,"Pick
(CP/GT/F/BT/C/DC)","Throw
(RO/MRO/ST/MST/DH)","Runs
Saved (+) / Conceded (-)",Venue,Notes
1,1,Mumbai Indians,Rohit Sharma,1,1,Mid-off,"Fielded a driven shot, clean pick and accurate return",Clean Pick,,1,Wankhede,Good ground fielding
1,1,Mumbai Indians,Suryakumar Yadav,3,1,Cover,"Sprinted to stop a gap, fumbled the pick",Fumble,,-1,Wankhede,Gave extra run
1,1,Mumbai Indians,Hardik Pandya,5,1,Mid-wicket,Direct hit attempt on non-striker — missed,,Missed Run Out,-1,Wankhede,Narrowly missed
1,1,Mumbai Indians,Rohit Sharma,2,2,Point,Sharp catch off a mistimed cut shot,Catch,,4,Wankhede,Excellent reflex catch
1,1,Mumbai Indians,Suryakumar Yadav,4,2,Deep cover,"Diving stop at boundary, good throw to keeper",Good Throw,,2,Wankhede,Saved boundary
1,1,Mumbai Indians,Hardik Pandya,6,2,Long-on,"Clean pick, strong return preventing second run",Clean Pick,,1,Wankhede,Accurate throw
1,1,Mumbai Indians,Rohit Sharma,1,3,Slip,Dropped a straightforward edge — costly error,Drop Catch,,-4,Wankhede,"Batsman on 34, went on to 80"
1,1,Mumbai Indians,Suryakumar Yadav,3,3,Backward point,"Ran around the boundary, direct hit — RUN OUT!",,Direct Hit,4,Wankhede,Brilliant direct hit
1,1,Mumbai Indians,Hardik Pandya,5,3,Mid-on,"Clean pick, bullet throw to keep to 1 run",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,2,4,Gully,Good throw after fielding on the run,Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,4,4,Extra cover,Catch at extra cover — clean take,Catch,,4,Wankhede,Important wicket
1,1,Mumbai Indians,Hardik Pandya,6,4,Deep mid-wicket,"Misfield, ball went through legs",Fumble,,-2,Wankhede,Costly misfield
1,1,Mumbai Indians,Rohit Sharma,1,5,Mid-off,Clean pick and flat throw to non-striker end,Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,3,5,Covers,Run out attempt — striker dived in safely,,Missed Run Out,-1,Wankhede,Very close call
